problem,seed,reduction_factor,redundancy_rate,max_internal_nodes_seen_isalsr,total_dags_explored_isalsr,unique_canonical_dags,r2_train_baseline,r2_train_isalsr,r2_test_baseline,r2_test_isalsr,nrmse_train_baseline,nrmse_train_isalsr,nrmse_test_baseline,nrmse_test_isalsr,delta_r2_train,delta_r2_test,delta_nrmse_train,delta_nrmse_test,model_complexity_baseline,model_complexity_isalsr,wall_clock_search_only_s_baseline,wall_clock_search_only_s_isalsr,overhead_time_s,canonicalization_runtime_s,solution_recovered_baseline,solution_recovered_isalsr
i.15.10,12,1.818955732122588,0.4502340093603744,31.0,12159770.0,6685028.0,0.9999999999912634,0.999999999716979,0.9999999998010607,0.9999999958911698,2.9557692221420835e-06,1.6823228495371273e-05,1.4104582952339635e-05,6.410015689917883e-05,-2.742844840142311e-10,-3.9098908555246226e-09,1.386745927322919e-05,4.999557394683919e-05,31.0,32.0,12525.731632000767,20738.845957428217,12098.609403852839,12098.609403852839,False,False
i.15.10,13,1.8165135629727003,0.4494948893398223,31.0,11418290.0,6285827.0,0.9999999028001024,0.9999999991761541,0.9999998080293294,0.9999999968149924,0.00031176898114828515,2.870271541458639e-05,0.0004381445773130517,5.6435871028060196e-05,9.63760516947687e-08,1.887856629911866e-07,-0.0002830662657336988,-0.0003817087062849915,31.0,32.0,12703.608317489736,19635.660439271014,10939.40113920113,10939.40113920113,False,False
i.15.10,14,1.8171581405861523,0.44969016308209997,30.0,12059570.0,6636500.0,0.9999976208826116,0.9999999997259031,0.9999979051431664,0.9999999998149208,0.0015424387794653242,1.6555871636577822e-05,0.0014473620257315072,1.360438233282156e-05,2.3788432915727853e-06,2.0946717543823823e-06,-0.0015258829078287463,-0.0014337576433986856,31.0,31.0,12583.533882787917,20434.95475293789,11556.297101803124,11556.297101803124,False,False
i.15.10,15,1.8150878852897632,0.44906248997394493,30.0,11844140.0,6525381.0,0.9999994484486273,0.9999999985521499,0.9999992054378068,0.9999999986051578,0.0007426650474150171,3.805062468533634e-05,0.00089138218127948,3.734758701387284e-05,5.501035226229689e-07,7.931673509098403e-07,-0.0007046144227296808,-0.0008540345942656071,32.0,31.0,12941.958518125117,20317.915626273025,10956.933673223946,10956.933673223946,False,False
i.15.10,16,1.8177683267816618,0.4498748903989934,30.0,12009470.0,6606711.0,0.9999999973213328,0.9999999999999747,0.9999999968363338,0.999999999999966,5.1755842487366344e-05,1.5903137914558526e-07,5.62464772330845e-05,1.8420038095835017e-07,2.6786418638735654e-09,3.163632245062331e-09,-5.159681110822076e-05,-5.606227685212615e-05,32.0,31.0,13112.923283569049,20436.533430919517,11793.756469336338,11793.756469336338,False,False
i.15.10,17,1.8181550538645703,0.44999190367485153,29.0,11363180.0,6249841.0,0.9999982888418429,0.9999999997709013,0.9999979413526969,0.9999999997191359,0.001308112440526236,1.5136009319968949e-05,0.0014347986977539936,1.675900005109002e-05,1.7109290583183778e-06,2.058366438961734e-06,-0.0012929764312062672,-0.0014180396977029035,32.0,30.0,12512.56369813811,19709.97291527642,10736.368051944766,10736.368051944766,False,False
i.15.10,18,1.8181779916194458,0.44999884246244615,31.0,12094640.0,6652066.0,0.9999997692089185,0.9999999928060906,0.9999997881022491,0.9999999942194957,0.00048040720386042124,8.48169169481653e-05,0.0004603235284625843,7.602962757056055e-05,2.2359717211095642e-07,2.0611724660390962e-07,-0.0003955902869122559,-0.00038429390089202376,32.0,32.0,12579.080292942934,20283.488278008066,11144.25766613381,11144.25766613381,False,False
i.15.10,19,1.8192935888085573,0.4503361050951139,27.0,12365180.0,6796693.0,0.999999870551841,0.9999999933545697,0.9999999209847715,0.9999999964070254,0.0003597890479105006,8.151950885418595e-05,0.0002810964753729744,5.99414263162418e-05,1.2280272865261566e-07,7.542225388679213e-08,-0.00027826953905631466,-0.00022115504905673259,31.0,28.0,12335.171202735044,20815.905547175556,11440.51788440533,11440.51788440533,False,False
i.15.10,20,1.817262487887468,0.44972176189996615,30.0,10922300.0,6010304.0,0.999999064098882,0.9999999903729042,0.9999993220321906,0.9999999935548872,0.0009674198251382098,9.811776475663735e-05,0.0008233880065975905,8.02814593971743e-05,9.262740222615307e-07,6.715226966713672e-07,-0.0008693020603815724,-0.0007431065472004162,32.0,31.0,13672.760098492727,19288.412877785042,10323.701226954814,10323.701226954814,False,False
i.15.10,21,1.8173623430658146,0.44975199699965085,31.0,11598650.0,6382134.0,0.9999999991215172,0.9999999988162144,0.9999999977028073,0.9999999982436021,2.9639211355473357e-05,3.440618603364774e-05,4.7929038298550144e-05,4.1909401086852216e-05,-3.0530278305462843e-10,5.40794742320827e-10,4.7669746781743805e-06,-6.019637211697928e-06,31.0,32.0,13119.4758013729,29169.629976586904,12556.137566274963,12556.137566274963,False,False
